Compound Score,News Name,Tweets ago
0.4926,CBS,89
-0.2023,CBS,90
0.0,CBS,91
0.6705,CBS,92
0.3818,CBS,93
0.4404,CBS,94
0.0,CBS,95
0.7096,CBS,96
0.7096,CBS,97
0.4939,CBS,98
-0.6981,CBS,99
0.4547,CBS,100
0.8591,CBS,101
0.4885,CBS,102
0.5994,CBS,103
0.7717,CBS,104
0.6908,CBS,105
0.0,CBS,106
0.0,CBS,107
0.0,CBS,108
0.4404,CBS,109
0.5562,CBS,110
0.0,CBS,111
0.0,CBS,112
0.4482,CBS,113
0.784,CBS,114
0.9359,CBS,115
-0.5423,CBS,116
0.0,CBS,117
0.0,CBS,118
0.7644,CBS,119
0.0,CBS,120
0.0,CBS,121
0.5093,CBS,122
0.0,CBS,123
0.0,CBS,124
0.6808,CBS,125
0.4404,CBS,126
-0.4019,CBS,127
0.3612,CBS,128
0.6124,CBS,129
0.3182,CBS,130
0.68,CBS,131
0.8619,CBS,132
0.0,CBS,133
0.7506,CBS,134
0.0,CBS,135
0.0,CBS,136
0.8478,CBS,137
-0.5859,CBS,138
0.0516,CBS,139
0.5574,CBS,140
0.0,CBS,141
0.0772,CBS,142
0.0,CBS,143
0.1531,CBS,144
0.0,CBS,145
0.8268,CBS,146
-0.0772,CBS,147
0.4019,CBS,148
0.4003,CBS,149
0.6114,CBS,150
0.0,CBS,151
0.0,CBS,152
0.1139,CBS,153
0.1007,CBS,154
0.4588,CBS,155
0.1779,CBS,156
-0.2263,CBS,157
-0.4767,CBS,158
0.4939,CBS,159
0.5093,CBS,160
0.8261,CBS,161
0.8309,CBS,162
0.6588,CBS,163
-0.5106,CBS,164
0.0,CBS,165
0.7525,CBS,166
0.0,CBS,167
0.8516,CBS,168
0.8442,CBS,169
0.923,CBS,170
0.5994,CBS,171
0.8834,CBS,172
0.8553,CBS,173
0.8553,CBS,174
0.9215,CBS,175
0.0,CBS,176
0.5994,CBS,177
0.6908,CBS,178
0.0,CBS,179
-0.296,CBS,180
0.0,CBS,181
0.3818,CBS,182
0.5093,CBS,183
0.0,CBS,184
0.7783,CBS,185
0.9259,CBS,186
0.0,CBS,187
0.5106,CBS,188
0.1531,CBS,189
0.3182,CBS,190
0.6597,CBS,191
0.0,CBS,192
0.0,CBS,193
0.5719,CBS,194
0.3612,CBS,195
0.7506,CBS,196
0.5719,CBS,197
0.0,CBS,198
0.0,CBS,199
0.8779,CBS,200
0.0,CNN,1
0.0,CNN,2
-0.3182,CNN,3
0.0,CNN,4
0.1027,CNN,5
0.0,CNN,6
0.6361,CNN,7
-0.1901,CNN,8
-0.3182,CNN,9
-0.4939,CNN,10
-0.2195,CNN,11
-0.25,CNN,12
-0.6705,CNN,13
-0.6359,CNN,14
0.2023,CNN,15
0.0258,CNN,16
0.0,CNN,17
0.0,CNN,18
0.046,CNN,19
0.0,CNN,20
0.0,CNN,21
0.0,CNN,22
0.0,CNN,23
-0.5267,CNN,24
0.0,CNN,25
-0.3818,CNN,26
-0.128,CNN,27
0.0,CNN,28
-0.032,CNN,29
0.0,CNN,30
-0.3384,CNN,31
-0.5367,CNN,32
0.4803,CNN,33
0.0,CNN,34
0.0,CNN,35
-0.4939,CNN,36
0.0,CNN,37
-0.0772,CNN,38
-0.7184,CNN,39
-0.4767,CNN,40
0.5984,CNN,41
0.2732,CNN,42
0.5267,CNN,43
0.8176,CNN,44
0.0,CNN,45
-0.5574,CNN,46
0.0,CNN,47
-0.4588,CNN,48
0.0,CNN,49
-0.4215,CNN,50
0.0,CNN,51
0.0,CNN,52
0.0,CNN,53
-0.5267,CNN,54
0.0,CNN,55
0.4939,CNN,56
0.0,CNN,57
-0.4019,CNN,58
0.0,CNN,59
-0.4767,CNN,60
-0.6124,CNN,61
0.0,CNN,62
0.0,CNN,63
0.0,CNN,64
-0.7845,CNN,65
0.0,CNN,66
-0.802,CNN,67
0.6808,CNN,68
-0.0772,CNN,69
0.4767,CNN,70
-0.6705,CNN,71
-0.2263,CNN,72
0.0,CNN,73
0.0,CNN,74
0.2023,CNN,75
-0.6486,CNN,76
0.5379,CNN,77
-0.7096,CNN,78
0.0,CNN,79
-0.0258,CNN,80
-0.6705,CNN,81
0.0,CNN,82
-0.0772,CNN,83
-0.802,CNN,84
-0.4215,CNN,85
0.0,CNN,86
-0.5106,CNN,87
0.0,CNN,88
-0.802,CNN,89
-0.5423,CNN,90
0.0258,CNN,91
0.0,CNN,92
-0.4588,CNN,93
0.6808,CNN,94
-0.6597,CNN,95
0.6808,CNN,96
-0.1901,CNN,97
-0.4549,CNN,98
0.0,CNN,99
0.3182,CNN,100
0.0,CNN,101
0.128,CNN,102
-0.0772,CNN,103
-0.0258,CNN,104
-0.6597,CNN,105
-0.0018,CNN,106
-0.3612,CNN,107
0.0,CNN,108
0.6369,CNN,109
-0.0258,CNN,110
-0.25,CNN,111
0.0,CNN,112
0.0,CNN,113
0.0,CNN,114
-0.1226,CNN,115
0.0,CNN,116
-0.5106,CNN,117
0.0,CNN,118
0.0,CNN,119
-0.6597,CNN,120
0.0,CNN,121
0.5859,CNN,122
-0.3818,CNN,123
-0.5423,CNN,124
-0.6124,CNN,125
0.0,CNN,126
0.0,CNN,127
-0.6249,CNN,128
-0.1226,CNN,129
0.0,CNN,130
-0.6597,CNN,131
0.3182,CNN,132
0.0,CNN,133
-0.4588,CNN,134
0.0,CNN,135
-0.4019,CNN,136
-0.802,CNN,137
-0.3182,CNN,138
0.0,CNN,139
-0.4588,CNN,140
0.2263,CNN,141
-0.6249,CNN,142
0.0,CNN,143
0.0,CNN,144
0.0,CNN,145
-0.3182,CNN,146
0.0,CNN,147
-0.1655,CNN,148
-0.7096,CNN,149
0.3612,CNN,150
0.0,CNN,151
-0.1531,CNN,152
-0.5719,CNN,153
-0.25,CNN,154
-0.5423,CNN,155
-0.6597,CNN,156
0.0,CNN,157
-0.1226,CNN,158
-0.3182,CNN,159
0.0,CNN,160
-0.1655,CNN,161
0.0,CNN,162
-0.5106,CNN,163
0.0,CNN,164
0.34,CNN,165
-0.6597,CNN,166
0.5859,CNN,167
-0.802,CNN,168
0.3612,CNN,169
-0.7096,CNN,170
0.0,CNN,171
0.0,CNN,172
-0.6249,CNN,173
0.0,CNN,174
-0.3818,CNN,175
0.0,CNN,176
-0.3182,CNN,177
0.3182,CNN,178
0.0,CNN,179
0.0,CNN,180
-0.296,CNN,181
0.0,CNN,182
0.0,CNN,183
0.0,CNN,184
0.0,CNN,185
-0.7906,CNN,186
0.0,CNN,187
0.5859,CNN,188
-0.5719,CNN,189
0.0,CNN,190
-0.7096,CNN,191
-0.5106,CNN,192
0.0,CNN,193
-0.3818,CNN,194
0.0,CNN,195
0.0,CNN,196
0.6369,CNN,197
0.3612,CNN,198
0.0,CNN,199
0.0,CNN,200
-0.296,FoxNews,1
0.0,FoxNews,2
-0.6597,FoxNews,3
0.0,FoxNews,4
0.5859,FoxNews,5
-0.2263,FoxNews,6
-0.0772,FoxNews,7
0.0,FoxNews,8
0.34,FoxNews,9
0.0,FoxNews,10
-0.2617,FoxNews,11
0.0,FoxNews,12
0.3818,FoxNews,13
-0.5423,FoxNews,14
0.4767,FoxNews,15
-0.4767,FoxNews,16
-0.3612,FoxNews,17
-0.3818,FoxNews,18
-0.8689,FoxNews,19
0.0772,FoxNews,20
0.0,FoxNews,21
